epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1174.51,0.5899,1.51754,0.55517,1.05262,0.89681,0.8284,0.9184,0.73869,0.61671,0.56297,0.51412,0.37065,0.72241,1.63425,0.69933,1.21906,0.0011884,0.0011884,0.0011884
31,1213.34,0.58297,1.5021,0.5452,1.04518,0.85283,0.90449,0.93274,0.77274,0.51604,0.55204,0.48891,0.38232,0.68978,1.50698,0.63412,1.19006,0.0011719,0.0011719,0.0011719
32,1252.23,0.57558,1.51817,0.53158,1.03758,0.89234,0.87351,0.93494,0.75776,0.61717,0.58203,0.51767,0.3818,0.73268,1.47638,0.65906,1.22072,0.0011554,0.0011554,0.0011554
33,1291.03,0.56204,1.48141,0.53173,1.02917,0.85907,0.8606,0.91959,0.7614,0.63782,0.55542,0.52275,0.39186,0.72224,1.4137,0.65462,1.20596,0.00113889,0.00113889,0.00113889
34,1329.82,0.57339,1.45965,0.52295,1.03203,0.89757,0.87792,0.9385,0.77716,0.59286,0.57558,0.51193,0.38585,0.68258,1.40063,0.65471,1.17499,0.00112239,0.00112239,0.00112239
35,1368.73,0.56174,1.52942,0.52815,1.03378,0.8754,0.87833,0.93316,0.77511,0.62455,0.56294,0.53874,0.39294,0.6784,1.43799,0.61164,1.16641,0.00110589,0.00110589,0.00110589
36,1407.46,0.56368,1.4686,0.51734,1.03012,0.87133,0.86816,0.93047,0.76614,0.66051,0.56364,0.54206,0.39956,0.69732,1.46822,0.6064,1.18155,0.00108938,0.00108938,0.00108938
37,1446.33,0.55516,1.41129,0.50818,1.02373,0.91187,0.8769,0.94275,0.78141,0.62652,0.56491,0.52336,0.38897,0.69143,1.38732,0.59534,1.17716,0.00107288,0.00107288,0.00107288
38,1485.03,0.55262,1.46683,0.5061,1.02465,0.86625,0.88684,0.91437,0.75662,0.62576,0.60099,0.54463,0.40106,0.71242,1.42577,0.62754,1.18873,0.00105638,0.00105638,0.00105638
39,1523.9,0.55345,1.46532,0.51223,1.02881,0.8752,0.90205,0.93445,0.77709,0.62641,0.58612,0.53918,0.39797,0.67832,1.41413,0.59781,1.16388,0.00103987,0.00103987,0.00103987
40,1562.78,0.54402,1.41757,0.50114,1.02412,0.8635,0.88654,0.93862,0.77337,0.61605,0.58385,0.53924,0.39906,0.67439,1.62115,0.6048,1.16375,0.00102337,0.00102337,0.00102337
41,1601.67,0.55575,1.44052,0.5051,1.02665,0.89112,0.87879,0.93891,0.78666,0.62961,0.58479,0.54889,0.40422,0.67146,1.45467,0.60209,1.1761,0.00100687,0.00100687,0.00100687
42,1640.27,0.54331,1.42805,0.49443,1.02143,0.88733,0.84375,0.92406,0.76785,0.61959,0.57655,0.53364,0.39724,0.66531,1.52391,0.6144,1.14218,0.000990365,0.000990365,0.000990365
43,1679.1,0.54704,1.42071,0.49812,1.02308,0.91725,0.86892,0.9384,0.79429,0.64515,0.58074,0.5541,0.41118,0.66884,1.4587,0.58889,1.14782,0.000973861,0.000973861,0.000973861
44,1717.8,0.53584,1.38163,0.48061,1.01581,0.88283,0.85321,0.92896,0.78129,0.6446,0.54834,0.54539,0.39851,0.6865,1.51694,0.6162,1.16583,0.000957358,0.000957358,0.000957358
45,1756.57,0.54194,1.4204,0.48872,1.01513,0.92442,0.86899,0.94306,0.79143,0.61581,0.57583,0.53423,0.40395,0.67031,1.35681,0.5712,1.15932,0.000940855,0.000940855,0.000940855
46,1795.46,0.53615,1.42039,0.48403,1.0175,0.90344,0.868,0.94278,0.79455,0.63597,0.59889,0.56047,0.40378,0.67073,1.41801,0.5662,1.15666,0.000924352,0.000924352,0.000924352
47,1834.23,0.53533,1.43851,0.47507,1.01677,0.90684,0.86899,0.94077,0.7926,0.64214,0.57247,0.53389,0.40206,0.67519,1.45012,0.5681,1.17028,0.000907848,0.000907848,0.000907848
48,1872.93,0.52771,1.4167,0.47681,1.0143,0.90457,0.8954,0.94681,0.79487,0.6267,0.61627,0.56027,0.41274,0.64876,1.3636,0.55868,1.14815,0.000891345,0.000891345,0.000891345
49,1911.76,0.52702,1.34313,0.47054,1.01099,0.88993,0.88177,0.93971,0.78822,0.62796,0.58346,0.54493,0.41062,0.65746,1.49118,0.56591,1.15249,0.000874842,0.000874842,0.000874842
50,1950.52,0.52052,1.37413,0.47012,1.00647,0.90707,0.88367,0.94547,0.79443,0.63827,0.59367,0.55686,0.40583,0.67605,1.40566,0.58337,1.15854,0.000858338,0.000858338,0.000858338
51,1989.19,0.5264,1.35482,0.46936,1.01084,0.92748,0.88392,0.95092,0.808,0.6374,0.58988,0.543,0.41137,0.62736,1.39796,0.54193,1.12183,0.000841835,0.000841835,0.000841835
52,2028,0.51061,1.3748,0.45113,1.00158,0.91361,0.88787,0.94184,0.80622,0.6668,0.60607,0.57978,0.42435,0.64373,1.35466,0.53885,1.13966,0.000825332,0.000825332,0.000825332
53,2066.77,0.5173,1.35322,0.45381,1.00584,0.89546,0.89125,0.93848,0.79178,0.59261,0.57326,0.51874,0.40157,0.65803,1.39897,0.5572,1.15221,0.000808828,0.000808828,0.000808828
54,2105.48,0.51819,1.35625,0.45976,1.00446,0.90584,0.8791,0.94086,0.80505,0.67101,0.59196,0.55149,0.4129,0.64368,1.38418,0.55096,1.13336,0.000792325,0.000792325,0.000792325
55,2144.1,0.5085,1.33277,0.45146,0.99884,0.91081,0.86654,0.94323,0.80198,0.67484,0.61354,0.57781,0.4235,0.64,1.45394,0.54044,1.12837,0.000775822,0.000775822,0.000775822
56,2182.94,0.52244,1.36917,0.46016,1.00079,0.90271,0.88849,0.93743,0.79662,0.66042,0.59852,0.55359,0.41478,0.64639,1.41316,0.54808,1.13823,0.000759318,0.000759318,0.000759318
